[2025-12-15 20:18:27] Initialized ContinuousLogger for adp_resnet (Mode: width_only)
[2025-12-15 20:18:27] Logs: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_log.txt
[2025-12-15 20:18:27] CSV: results_adp_resnet_cifar10_class5_exk1_w1d2_trials5_patience10\training_stats.csv
[2025-12-15 20:18:27] [INITIAL TRAINING]
[2025-12-15 23:51:43]   Epoch 017/10000000000000000000 | train=0.9672 | val=0.9306 | best=0.9184 | ES=7/10
[2025-12-15 23:52:37]   Epoch 018/10000000000000000000 | train=0.9687 | val=0.9294 | best=0.9184 | ES=8/10
[2025-12-15 23:53:33]   Epoch 019/10000000000000000000 | train=0.9620 | val=0.9227 | best=0.9184 | ES=9/10
[2025-12-15 23:54:27]   Epoch 020/10000000000000000000 | train=0.9649 | val=0.9358 | best=0.9184 | ES=10/10
[2025-12-15 23:54:27] [WIDTH OPT] ✓ IMPROVEMENT: New best: 0.918367
[2025-12-15 23:55:29]   Epoch 001/10000000000000000000 | train=0.9689 | val=0.9380 | best=0.9380 | ES=0/10
[2025-12-15 23:56:24]   Epoch 002/10000000000000000000 | train=0.9659 | val=0.9273 | best=0.9273 | ES=0/10
[2025-12-15 23:57:19]   Epoch 003/10000000000000000000 | train=0.9675 | val=0.9738 | best=0.9273 | ES=1/10
[2025-12-15 23:58:14]   Epoch 004/10000000000000000000 | train=0.9649 | val=0.9434 | best=0.9273 | ES=2/10
[2025-12-15 23:59:06]   Epoch 005/10000000000000000000 | train=0.9726 | val=0.9716 | best=0.9273 | ES=3/10
[2025-12-16 00:00:00]   Epoch 006/10000000000000000000 | train=0.9636 | val=0.9207 | best=0.9207 | ES=0/10
[2025-12-16 00:00:55]   Epoch 007/10000000000000000000 | train=0.9622 | val=0.9330 | best=0.9207 | ES=1/10
[2025-12-16 00:01:54]   Epoch 008/10000000000000000000 | train=0.9646 | val=0.9348 | best=0.9207 | ES=2/10
